NAME No Man's Land
SIZE 16 16
GOLD 400
LIVES 20
WAVES 20
MAP
tttb............
.btb..........ss
.btttb..........
..bbtb..mm......
...bttt...ss....
.....btbbb....m.
...m..tttb....m.
...m...btttb....
.s.....b.btb.b..
.s.....btttttb..
...bb.ttt.b.tb..
...btttbb...tb..
..b.tb.m....ttbb
..ttt..m.....ttt
bbt.bb......b...
tttb............
PATH
0 0
1 0
2 0
2 1
2 2
3 2
4 2
4 3
4 4
5 4
6 4
6 5
6 6
7 6
8 6
8 7
9 7
10 7
10 8
10 9
11 9
12 9
12 10
12 11
12 12
13 12
13 13
14 13
15 13
END
PATH
0 15
1 15
2 15
2 14
2 13
3 13
4 13
4 12
4 11
5 11
6 11
6 10
7 10
8 10
8 9
9 9
10 9
11 9
12 9
12 10
12 11
12 12
13 12
13 13
14 13
15 13
END
